"","Date_UTC","ClickTime_UTC","clickDepth_m","fit_line","lwr_CI_99","upr_CI_99"
"187","2016-07-25","2016-07-25_21:25:24.871",293.265693678621,228.638472086095,215.442480952774,241.834463219416
"188","2016-07-25","2016-07-25_21:25:25.588",255.413028056277,230.502703099688,217.235615766669,243.769790432707
"189","2016-07-25","2016-07-25_21:25:26.301",274.338918980269,232.354138675661,219.017319412776,245.690957938546
"190","2016-07-25","2016-07-25_21:25:27.661",253.047353831172,235.870983169576,222.406663962826,249.335302376325
"191","2016-07-25","2016-07-25_21:25:28.322",251.864521896925,237.569609302809,224.047288351975,251.091930253644
"192","2016-07-25","2016-07-25_21:25:28.946",305.095376656834,239.164589990521,225.590693538854,252.738486442189
"193","2016-07-25","2016-07-25_21:25:32.078",271.840846429536,246.991539108404,233.224551486702,260.758526730106
"194","2016-07-25","2016-07-25_21:25:33.309",277.129805626426,250.027030454077,236.216012748399,263.838048159755
"195","2016-07-25","2016-07-25_21:25:33.944",348.597558599825,251.617624322504,237.787765319625,265.447483325382
"196","2016-07-25","2016-07-25_21:25:35.302",357.2238044426,255.073237373402,241.210987645903,268.9354871009
"197","2016-07-25","2016-07-25_21:25:36.688",308.405880456331,258.672195392632,244.786528894565,272.5578618907
"198","2016-07-25","2016-07-25_21:25:47.608",359.382830394117,289.034861166091,275.081485312791,302.988237019391
"199","2016-07-25","2016-07-25_21:25:48.359",334.452636601671,291.220241854166,277.256174118095,305.184309590238
"200","2016-07-25","2016-07-25_21:25:49.061",342.334734916478,293.270639900059,279.294532089498,307.24674771062
"201","2016-07-25","2016-07-25_21:25:53.183",364.176249625171,305.425794305931,291.330577974533,319.521010637328
"202","2016-07-25","2016-07-25_21:26:05.615",369.323919373256,342.237986380897,327.183312031365,357.292660730429
"203","2016-07-25","2016-07-25_21:26:11.782",402.718931390085,359.817082959159,344.046154339943,375.588011578375
"204","2016-07-25","2016-07-25_21:26:13.026",361.170346442381,363.254489630725,347.336085132118,379.172894129332
"205","2016-07-25","2016-07-25_21:26:20.020",400.879913913012,381.657188280386,364.990451520398,398.323925040374
"206","2016-07-25","2016-07-25_21:26:23.046",485.080923472309,389.033014634472,372.126710264965,405.939319003979
"207","2016-07-25","2016-07-25_21:26:23.640",370.171784026052,390.432592179693,373.487916135449,407.377268223937
"208","2016-07-25","2016-07-25_21:26:24.897",397.062425559679,393.33873554539,376.323463978538,410.354007112241
"209","2016-07-25","2016-07-25_21:26:25.523",394.617746358452,394.757006014905,377.712252649693,411.801759380116
"210","2016-07-25","2016-07-25_21:26:27.378",371.39404631555,398.841339925854,381.733077346981,415.949602504728
"211","2016-07-25","2016-07-25_21:26:28.710",403.654933157812,401.660189331317,384.529805549391,418.790573113243
"212","2016-07-25","2016-07-25_21:26:29.328",390.354208748391,402.93433822713,385.800744627681,420.067931826579
"213","2016-07-25","2016-07-25_21:26:29.927",390.354208748391,404.148384472659,387.016089228894,421.280679716424
"214","2016-07-25","2016-07-25_21:26:30.515",391.563346656552,405.319726718158,388.193016758933,422.446436677383
"215","2016-07-25","2016-07-25_21:26:31.091",384.308575776837,406.454311072656,389.336807927609,423.571814217704
"216","2016-07-25","2016-07-25_21:26:32.247",404.864112549988,408.714516822966,391.624957190628,425.804076455303
"217","2016-07-25","2016-07-25_21:26:48.813",432.020396407025,439.007297269498,423.19348296334,454.821111575656
"218","2016-07-25","2016-07-25_21:27:00.071",433.798748768531,457.985948952115,443.035117811065,472.936780093166
"219","2016-07-25","2016-07-25_21:27:03.545",428.026714006681,463.690779695043,448.857500866629,478.524058523458
"220","2016-07-25","2016-07-25_21:27:04.839",447.652009886097,465.804302181208,450.991542323168,480.617062039248
"221","2016-07-25","2016-07-25_21:27:06.147",454.578840397981,467.935826016351,453.130605152123,482.74104688058
"222","2016-07-25","2016-07-25_21:27:07.444",464.969336107146,470.045507401451,455.23465439618,484.856360406721
"223","2016-07-25","2016-07-25_21:27:09.226",476.514683108895,472.939392112226,458.099840797739,487.778943426714
